"","SiteUnit","Class","Order","Suborder","Alliance","Assoc","Species","MeanCov","Constancy","nPlots"
"398","CWH vh 3 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",30.321052631579,100,19
"399","CWH vh 3 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",7.8421052631579,36.8421052631579,19
"400","CWH vh 3 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",44.6894736842105,94.7368421052632,19
"401","CWH vh 3 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",6,100,8
"402","CWH vh 3 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",32,100,8
"403","CWH vh 3 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",25.3125,87.5,8
"404","CWH vh 3 /113",NA,NA,NA,NA,NA,"ALNURUB",28.6666666666667,100,3
"405","CWH vh 3 /113",NA,NA,NA,NA,NA,"PICESIT",3.66666666666667,100,3
"406","CWH vh 3 /113",NA,NA,NA,NA,NA,"TSUGHET",3,66.6666666666667,3
"407","CWH vh 3 /114","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",16.75,100,6
"408","CWH vh 3 /114","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",14.6666666666667,83.3333333333333,6
"409","CWH vh 3 /114","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",42.6666666666667,100,6
"410","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",29.1142857142857,96.4285714285714,28
"411","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PICESIT",2.03928571428571,53.5714285714286,28
"412","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PINUCON1",17.6214285714286,85.7142857142857,28
"413","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TAXUBRE",1.11071428571429,50,28
"414","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"THUJPLI",29.975,92.8571428571429,28
"415","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",16.75,100,28
"416","CWH vh 3 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",7.72857142857143,60.7142857142857,28
"417","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",2.16666666666667,50,12
"418","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"CALLNOO",21.9166666666667,75,12
"419","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",14.7416666666667,91.6666666666667,12
"420","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PINUCON1",5.54166666666667,33.3333333333333,12
"421","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",27.1666666666667,100,12
"422","CWH vh 3 /117","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",21.9166666666667,100,12
"423","CWH vh 3 /Wb53.1","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"CALLNOO",35.7142857142857,100,7
"424","CWH vh 3 /Wb53.1","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"PINUCON1",22.4285714285714,100,7
"425","CWH vh 3 /Wb53.1","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"THUJPLI",8.57142857142857,42.8571428571429,7
"426","CWH vh 3 /Wb53.1","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"TSUGHET",1.57142857142857,42.8571428571429,7
"427","CWH vh 3 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"CALLNOO",28.8461538461538,100,13
"428","CWH vh 3 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"PINUCON1",20.8461538461538,100,13
"429","CWH vh 3 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"THUJPLI",2.62307692307692,61.5384615384615,13
"430","CWH vh 3 /Wb54","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Tricces-Sphagnu","ALLIANCE Junicom-Tricces-Racolan",NA,"CALLNOO",8.57142857142857,100,7
"431","CWH vh 3 /Wb54","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Tricces-Sphagnu","ALLIANCE Junicom-Tricces-Racolan",NA,"PINUCON1",4.85714285714286,100,7
"432","CWH vh 3 /Ws58","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"CALLNOO",20.1,90,10
"433","CWH vh 3 /Ws58","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"PINUCON1",9.25,80,10
"434","CWH vh 3 /Ws58","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"THUJPLI",17.8,100,10
"435","CWH vh 3 /Ws58","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"TSUGHET",8.7,80,10
"436","CWH vm 2 /01","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"ABIEAMA",36.1612887323944,93.6619718309859,142
"437","CWH vm 2 /01","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"CALLNOO",10.4674647887324,51.4084507042254,142
"438","CWH vm 2 /01","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"TSUGHET",34.0460070422535,92.9577464788732,142
"439","CWH vm 2 /01","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"TSUGMER",9.56760563380282,48.5915492957746,142
"440","CWH vm 2 /02","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",21.8684210526316,78.9473684210526,19
"441","CWH vm 2 /02","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PINUCON1",8.18947368421053,47.3684210526316,19
"442","CWH vm 2 /02","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",3.47368421052632,47.3684210526316,19
"443","CWH vm 2 /02","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",7.73684210526316,68.421052631579,19
"444","CWH vm 2 /03",NA,NA,NA,NA,NA,"ABIEAMA",4.67307692307692,42.3076923076923,26
"445","CWH vm 2 /03",NA,NA,NA,NA,NA,"CALLNOO",18.8692307692308,76.9230769230769,26
"446","CWH vm 2 /03",NA,NA,NA,NA,NA,"THUJPLI",5.73461538461538,42.3076923076923,26
"447","CWH vm 2 /03",NA,NA,NA,NA,NA,"TSUGHET",18.0038461538462,73.0769230769231,26
"448","CWH vm 2 /03",NA,NA,NA,NA,NA,"TSUGMER",11.9461538461538,65.3846153846154,26
"449","CWH vm 2 /05",NA,NA,NA,NA,NA,"ABIEAMA",35.5695652173913,100,23
"450","CWH vm 2 /05",NA,NA,NA,NA,NA,"TSUGHET",39.8086956521739,86.9565217391304,23
"451","CWH vm 2 /05",NA,NA,NA,NA,NA,"TSUGMER",9.8695652173913,52.1739130434783,23
"452","CWH vm 2 /06",NA,NA,NA,NA,NA,"ABIEAMA",19.9591363636364,68.1818181818182,22
"453","CWH vm 2 /06",NA,NA,NA,NA,NA,"CALLNOO",15.5454545454545,72.7272727272727,22
"454","CWH vm 2 /06",NA,NA,NA,NA,NA,"THUJPLI",5.82318181818182,50,22
"455","CWH vm 2 /06",NA,NA,NA,NA,NA,"TSUGHET",23.8591363636364,86.3636363636364,22
"456","CWH vm 2 /06",NA,NA,NA,NA,NA,"TSUGMER",12.3045454545455,72.7272727272727,22
"457","CWH vm 2 /07","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"ABIEAMA",45.9729411764706,94.1176470588235,17
"458","CWH vm 2 /07","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"CALLNOO",11.8841176470588,41.1764705882353,17
"459","CWH vm 2 /07","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"THUJPLI",5.08529411764706,35.2941176470588,17
"460","CWH vm 2 /07","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"TSUGHET",30.1652941176471,82.3529411764706,17
"461","CWH vm 2 /07","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwBa (maritime and submaritime)",NA,NA,"TSUGMER",18.7941176470588,58.8235294117647,17
"462","CWH vm 2 /08","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCw (Coast Rich)",NA,NA,"ABIEAMA",50.2476,73.3333333333333,15
"463","CWH vm 2 /08","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCw (Coast Rich)",NA,NA,"CALLNOO",6,33.3333333333333,15
"464","CWH vm 2 /08","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCw (Coast Rich)",NA,NA,"THUJPLI",3.93333333333333,33.3333333333333,15
"465","CWH vm 2 /08","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCw (Coast Rich)",NA,NA,"TSUGHET",30.6127333333333,86.6666666666667,15
"466","CWH vm 2 /08","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCw (Coast Rich)",NA,NA,"TSUGMER",10.4469333333333,46.6666666666667,15
"467","CWH vm 2 /10","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",33,80,5
"468","CWH vm 2 /10","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",3.4,40,5
"469","CWH vm 2 /10","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",7.5,60,5
"470","CWH vm 2 /11",NA,NA,NA,NA,NA,"ABIEAMA",4.63333333333333,55.5555555555556,9
"471","CWH vm 2 /11",NA,NA,NA,NA,NA,"CALLNOO",31.6111111111111,88.8888888888889,9
"472","CWH vm 2 /11",NA,NA,NA,NA,NA,"TSUGHET",25.9666666666667,88.8888888888889,9
"473","CWH vm 2 /11",NA,NA,NA,NA,NA,"TSUGMER",16.2222222222222,66.6666666666667,9
"474","CWH wh 1 /102","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",7.77692307692308,76.9230769230769,39
"475","CWH wh 1 /102","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",33.7641025641026,94.8717948717949,39
"476","CWH wh 1 /102","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",35.0666666666667,100,39
"477","CWH wh 1 /104","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",2.84444444444444,66.6666666666667,9
"478","CWH wh 1 /104","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",48.7333333333333,100,9
"479","CWH wh 1 /104","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",2.33333333333333,33.3333333333333,9
"480","CWH wh 1 /104","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",58.5888888888889,100,9
"481","CWH wh 1 /105","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",1.25,38.8888888888889,18
"482","CWH wh 1 /105","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",30.1222222222222,88.8888888888889,18
"483","CWH wh 1 /105","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",7.16666666666667,55.5555555555556,18
"484","CWH wh 1 /105","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",61.3111111111111,100,18
"485","CWH wh 1 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",3,45.4545454545455,11
"486","CWH wh 1 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",36.8727272727273,100,11
"487","CWH wh 1 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",48.6454545454545,90.9090909090909,11
"488","CWH wh 1 /113","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",18.5636363636364,72.7272727272727,11
"489","CWH wh 1 /113","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",42.8454545454546,100,11
"490","CWH wh 1 /113","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",19.8636363636364,81.8181818181818,11
"491","CWH wh 1 /114","CLASS Populus-Betula","ORDER Popubal","SUBORDER ActDr-Rubuspe(coastal floodplains)",NA,NA,"ALNURUB",66.75,100,4
"492","CWH wh 1 /114","CLASS Populus-Betula","ORDER Popubal","SUBORDER ActDr-Rubuspe(coastal floodplains)",NA,NA,"PICESIT",11.5,100,4
"493","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",15.2625,75,40
"494","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PICESIT",4.89,80,40
"495","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PINUCON1",5.8675,52.5,40
"496","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TAXUBRE",1.2175,42.5,40
"497","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"THUJPLI",26.5225,97.5,40
"498","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",28.095025,100,40
"499","CWH wh 1 /115","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",6.3125,52.5,40
"500","CWH wh 1 /116","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",16.0636363636364,81.8181818181818,11
"501","CWH wh 1 /116","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",16.8636363636364,72.7272727272727,11
"502","CWH wh 1 /116","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",33.7727272727273,90.9090909090909,11
"503","CWH wh 1 /117",NA,NA,NA,NA,NA,"MALUFUS",21.1666666666667,100,3
"504","CWH wh 1 /117",NA,NA,NA,NA,NA,"PICESIT",20,100,3
"505","CWH wh 1 /117",NA,NA,NA,NA,NA,"TAXUBRE",3,66.6666666666667,3
"506","CWH wh 1 /117",NA,NA,NA,NA,NA,"THUJPLI",11.3333333333333,66.6666666666667,3
"507","CWH wh 1 /117",NA,NA,NA,NA,NA,"TSUGHET",9,66.6666666666667,3
"508","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"ALNURUB",2.33333333333333,33.3333333333333,15
"509","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"CALLNOO",10.8333333333333,53.3333333333333,15
"510","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",16.2066666666667,93.3333333333333,15
"511","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TAXUBRE",0.533333333333333,33.3333333333333,15
"512","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",28.0733333333333,100,15
"513","CWH wh 1 /118","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",29.94,93.3333333333333,15
"514","CWH wh 1 /Wb51.1","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Sphagnu","ALLIANCE Pinucon-Empenig-Sphagnu",NA,"CALLNOO",1,40,5
"515","CWH wh 1 /Wb51.1","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Sphagnu","ALLIANCE Pinucon-Empenig-Sphagnu",NA,"PINUCON1",12,100,5
"516","CWH wh 1 /Wb51.1","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Sphagnu","ALLIANCE Pinucon-Empenig-Sphagnu",NA,"THUJPLI",1.42,60,5
"517","CWH wh 1 /Wb51.1","CLASS Oxycocc-Sphagnu","ORDER Pinucon1-Chamnoo-Sphagnu","SUBORDER Pinucon-Sphagnu","ALLIANCE Pinucon-Empenig-Sphagnu",NA,"TSUGHET",0.64,60,5
"518","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",5,40,5
"519","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PICESIT",0.6,60,5
"520","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PINUCON1",11.2,100,5
"521","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TAXUBRE",0.6,40,5
"522","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"THUJPLI",15.4,100,5
"523","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",9.6,100,5
"524","CWH wh 1 /Wb51.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",3.6,80,5
"525","CWH wh 1 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"CALLNOO",12,75,4
"526","CWH wh 1 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"PINUCON1",18.5,100,4
"527","CWH wh 1 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"THUJPLI",0.375,50,4
"528","CWH wh 1 /Wb53.2","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER YcPlc",NA,NA,"TSUGMER",5.5,50,4
"529","CWH wh 2 /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"CALLNOO",22.1277777777778,83.3333333333333,18
"530","CWH wh 2 /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",10.2388888888889,88.8888888888889,18
"531","CWH wh 2 /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"THUJPLI",13.8833333333333,72.2222222222222,18
"532","CWH wh 2 /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGHET",64.9055555555556,100,18
"533","CWH wh 2 /110","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"TSUGMER",2.81666666666667,38.8888888888889,18
"534","CWH wh 2 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"CALLNOO",25.7285714285714,85.7142857142857,14
"535","CWH wh 2 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"PICESIT",9.61428571428571,78.5714285714286,14
"536","CWH wh 2 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"THUJPLI",8.79285714285714,57.1428571428571,14
"537","CWH wh 2 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGHET",17.2142857142857,85.7142857142857,14
"538","CWH wh 2 /111","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER HwCwYc - Gaulsha (vh zonals and Wet poor)",NA,NA,"TSUGMER",22.5714285714286,92.8571428571429,14
"539","CWH wh 2 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"CALLNOO",23.7,77.7777777777778,9
"540","CWH wh 2 /112","CLASS Thujpli-Tsughet","ORDER Tsughet-Rhytlor (CWH)","SUBORDER SsHw (wh wm zonals - rich and shore)",NA,NA,"PICESIT",14.4111111111111,88.8888888888889,9
